"","sim_id","step","individuals","present_species","shannon","patch_individuals_mean","patch_species_mean","patch_shannon_mean","sample_individuals_mean","sample_species_mean","sample_shannon_mean","habitat","fragmentation"
"153","job1_sim2",53,9335,685,6.05231139915972,59.8397435897436,19.7564102564103,2.41055085904098,24.8271276595745,16.5425531914894,2.53606130740044,0.15,0.9
"154","job1_sim2",54,9088,668,6.01292501127935,58.2564102564103,18.7628205128205,2.32783600568704,24.1702127659574,16.0478723404255,2.48696846053031,0.15,0.9
"155","job1_sim2",55,8830,659,5.99805385650245,56.6025641025641,18,2.25109158010586,23.4840425531915,15.6090425531915,2.44235515471046,0.15,0.9
"156","job1_sim2",56,8597,646,5.97024916200002,55.1089743589744,17.3910256410256,2.19290317543684,22.8643617021277,15.1542553191489,2.39101615396216,0.15,0.9
"157","job1_sim2",57,8346,630,5.93586406706171,53.5,16.4230769230769,2.09911278020816,22.1968085106383,14.6329787234043,2.32922473706243,0.15,0.9
"158","job1_sim2",58,8154,619,5.90437595021111,52.2692307692308,15.9358974358974,2.04923299239723,21.686170212766,14.311170212766,2.29177299188382,0.15,0.9
"159","job1_sim2",59,7955,603,5.86075108060128,50.9935897435897,15.1410256410256,1.94497122233256,21.156914893617,13.8696808510638,2.22160812077721,0.15,0.9
"160","job1_sim2",60,7865,589,5.8333118199816,50.4166666666667,14.5641025641026,1.88029419290219,20.9175531914894,13.5691489361702,2.18452190503438,0.15,0.9
"161","job1_sim2",61,7660,573,5.81035951474034,49.1025641025641,14.2628205128205,1.83425683413726,20.3723404255319,13.2739361702128,2.15079230747394,0.15,0.9
"162","job1_sim2",62,7555,561,5.78964222144738,48.4294871794872,13.7628205128205,1.76853971116231,20.093085106383,12.9574468085106,2.10198936629651,0.15,0.9
"163","job1_sim2",63,7304,544,5.75365096345686,46.8205128205128,13.1153846153846,1.71533128759626,19.4255319148936,12.5664893617021,2.05876067607,0.15,0.9
"164","job1_sim2",64,7217,537,5.72651380280503,46.2628205128205,12.7435897435897,1.66312176130465,19.1941489361702,12.3803191489362,2.01150181949025,0.15,0.9
"165","job1_sim2",65,7028,528,5.70322856914757,45.0512820512821,12.3076923076923,1.61454726492725,18.6914893617021,12.1276595744681,1.98466335481299,0.15,0.9
"166","job1_sim2",66,6934,516,5.67598954163995,44.4487179487179,11.974358974359,1.5690551021198,18.4414893617021,11.8936170212766,1.94876205970888,0.15,0.9
"167","job1_sim2",67,6851,504,5.63149822630669,43.9166666666667,11.5961538461538,1.50841211925707,18.2207446808511,11.7207446808511,1.91619238146747,0.15,0.9
"168","job1_sim2",68,6733,493,5.59780571210895,43.1602564102564,11.4102564102564,1.47379444050265,17.906914893617,11.438829787234,1.8712866640041,0.15,0.9
"169","job1_sim2",69,6640,480,5.56930328383765,42.5641025641026,11.0064102564103,1.44243295636515,17.6595744680851,11.281914893617,1.84818970638204,0.15,0.9
"170","job1_sim2",70,6565,468,5.55337152767604,42.0833333333333,10.8205128205128,1.40372133782586,17.4601063829787,11.1063829787234,1.8279947052606,0.15,0.9
"171","job1_sim2",71,6575,454,5.52836564106889,42.1474358974359,10.5192307692308,1.39147249315094,17.4867021276596,11.0053191489362,1.8101125948672,0.15,0.9
"172","job1_sim2",72,6451,450,5.50924063354262,41.3525641025641,10.2692307692308,1.34309965098572,17.156914893617,10.8404255319149,1.77610860284269,0.15,0.9
"173","job1_sim2",73,6376,440,5.48864323912846,40.8717948717949,10.025641025641,1.32397545632591,16.9574468085106,10.7047872340426,1.75971562417026,0.15,0.9
"174","job1_sim2",74,6282,433,5.46399036265237,40.2692307692308,9.71794871794872,1.26369592576607,16.7074468085106,10.5531914893617,1.72100662454006,0.15,0.9
"175","job1_sim2",75,6310,424,5.43627919313765,40.4487179487179,9.56410256410256,1.27867640303371,16.781914893617,10.5744680851064,1.71390300880117,0.15,0.9
"176","job1_sim2",76,6233,413,5.4185682037424,39.9551282051282,9.2948717948718,1.25064590473318,16.5771276595745,10.3510638297872,1.6936048489697,0.15,0.9
"177","job1_sim2",77,6195,406,5.39924224675722,39.7115384615385,9.17948717948718,1.25099029565271,16.4760638297872,10.2659574468085,1.67296760552594,0.15,0.9
"178","job1_sim2",78,6177,399,5.37505353310338,39.5961538461538,8.94871794871795,1.19230641673147,16.4281914893617,10.2712765957447,1.65575963207495,0.15,0.9
"179","job1_sim2",79,6153,388,5.35079118922539,39.4423076923077,8.76282051282051,1.19159176115967,16.3643617021277,10.2579787234043,1.64976535256237,0.15,0.9
"180","job1_sim2",80,6085,377,5.33055515159178,39.0064102564103,8.59615384615385,1.17080982341551,16.1835106382979,10.1702127659574,1.63643868949013,0.15,0.9
"181","job1_sim2",81,6076,367,5.30861206062994,38.9487179487179,8.48717948717949,1.15459251855908,16.1595744680851,10.0664893617021,1.61249976077382,0.15,0.9
